"sepal_l","sepal_w","petal_l","petal_w","species(p0)","species(p1)"
0.2222222222222221,-0.16666666666666674,0.5172413793103448,0.41666666666666674,0,1
0.2222222222222221,0,0.37931034482758585,0.5833333333333333,0,1
-0.33333333333333337,-0.6666666666666667,-0.10344827586206906,-0.25,0.8660254037844386,-0.5
-0.277777777777778,-0.5833333333333334,-0.034482758620689835,-0.16666666666666663,0.8660254037844386,-0.5
0.05555555555555558,-0.3333333333333336,0.2758620689655169,0.41666666666666674,0,1
0.11111111111111094,0.08333333333333304,0.6896551724137929,1,0,1
0.7222222222222223,-0.3333333333333336,0.7241379310344827,0.5,0,1
0.16666666666666674,-0.3333333333333336,0.5517241379310343,0.7500000000000002,0,1
-0.6666666666666664,-0.08333333333333337,-0.8620689655172414,-1,-0.8660254037844386,-0.5
0.8888888888888888,-0.5,1,0.8333333333333333,0,1
0.05555555555555558,-0.2500000000000002,0.10344827586206873,0,0.8660254037844386,-0.5
-0.16666666666666674,-0.41666666666666663,-0.034482758620689835,-0.08333333333333337,0.8660254037844386,-0.5
0.11111111111111094,0.16666666666666652,0.5517241379310343,0.9166666666666665,0,1
0.11111111111111094,-0.2500000000000002,0.5517241379310343,0.41666666666666674,0,1
0.11111111111111094,-0.5833333333333334,0.31034482758620685,0.16666666666666674,0.8660254037844386,-0.5
-0.8333333333333335,0.16666666666666652,-0.896551724137931,-0.8333333333333334,-0.8660254037844386,-0.5
-0.38888888888888873,0.583333333333333,-0.7931034482758621,-0.75,-0.8660254037844386,-0.5
1,0.49999999999999956,0.8275862068965518,0.5833333333333333,0,1
-0.5555555555555558,0.24999999999999978,-0.896551724137931,-0.9166666666666666,-0.8660254037844386,-0.5
-0.11111111111111094,-0.16666666666666674,0.06896551724137923,0.16666666666666674,0.8660254037844386,-0.5
0.8888888888888888,-0.16666666666666674,0.7241379310344827,0.8333333333333333,0,1
0.8888888888888888,-0.3333333333333336,0.9310344827586203,0.5833333333333333,0,1
-0.8333333333333335,-0.08333333333333337,-0.8620689655172414,-0.9166666666666666,-0.8660254037844386,-0.5
0.11111111111111094,-0.3333333333333336,0.37931034482758585,0.16666666666666674,0,1
0.833333333333333,-0.16666666666666674,0.8965517241379308,0.6666666666666667,0,1
-0.38888888888888873,0.16666666666666652,-0.8620689655172414,-0.75,-0.8660254037844386,-0.5
-0.33333333333333337,-0.5833333333333334,-0.00000000000000011102,0,0.8660254037844386,-0.5
0.3888888888888886,-0.16666666666666674,0.5172413793103448,0.6666666666666667,0,1
-0.05555555555555558,-0.8333333333333333,-0.00000000000000011102,-0.25,0.8660254037844386,-0.5
-0.8333333333333335,0,-0.896551724137931,-0.9166666666666666,-0.8660254037844386,-0.5
-0.611111111111111,0.33333333333333326,-0.896551724137931,-0.9166666666666666,-0.8660254037844386,-0.5
-0.9444444444444442,-0.2500000000000002,-0.896551724137931,-0.9166666666666666,-0.8660254037844386,-0.5
-0.5555555555555558,0.16666666666666652,-0.8620689655172414,-0.9166666666666666,-0.8660254037844386,-0.5
-0.33333333333333337,-0.7500000000000002,-0.00000000000000011102,0,0.8660254037844386,-0.5
-0.16666666666666674,-0.5,-0.00000000000000011102,-0.08333333333333337,0.8660254037844386,-0.5
-0.2222222222222221,-0.3333333333333336,0.17241379310344818,0,0.8660254037844386,-0.5
0.4444444444444444,0,0.5862068965517238,0.8333333333333333,0,1
-0.611111111111111,-1,-0.1724137931034484,-0.25,0.8660254037844386,-0.5
-0.6666666666666664,-0.5833333333333334,0.17241379310344818,0.33333333333333326,0,1
-0.5555555555555558,0.49999999999999956,-0.8275862068965517,-0.9166666666666666,-0.8660254037844386,-0.5
0.05555555555555558,0.16666666666666652,0.48275862068965525,0.8333333333333333,0,1
-0.38888888888888873,0.583333333333333,-0.9310344827586208,-0.75,-0.8660254037844386,-0.5
-0.2222222222222221,-0.2500000000000002,0.06896551724137923,0,0.8660254037844386,-0.5
-0.5555555555555558,0.08333333333333304,-0.7931034482758621,-0.6666666666666666,-0.8660254037844386,-0.5
0.16666666666666674,-0.08333333333333337,0.5172413793103448,0.41666666666666674,0,1
0.6111111111111112,0,0.6896551724137929,0.41666666666666674,0,1
-0.7222222222222223,0.16666666666666652,-0.7241379310344829,-0.9166666666666666,-0.8660254037844386,-0.5
-0.9444444444444442,0,-0.9310344827586208,-0.9166666666666666,-0.8660254037844386,-0.5
-0.2222222222222221,0.49999999999999956,-0.7931034482758621,-0.8333333333333334,-0.8660254037844386,-0.5
0.3888888888888886,0,0.6551724137931034,0.8333333333333333,0,1
0.16666666666666674,0,0.17241379310344818,0.16666666666666674,0.8660254037844386,-0.5
-0.38888888888888873,0.16666666666666652,-0.7931034482758621,-0.9166666666666666,-0.8660254037844386,-0.5
-0.611111111111111,-0.16666666666666674,-0.8275862068965517,-0.9166666666666666,-0.8660254037844386,-0.5
-0.7777777777777777,0,-0.9310344827586208,-0.9166666666666666,-0.8660254037844386,-0.5
-0.7222222222222223,-0.16666666666666674,-0.896551724137931,-0.8333333333333334,-0.8660254037844386,-0.5
-0.7777777777777777,0,-0.8275862068965517,-0.9166666666666666,-0.8660254037844386,-0.5
0.11111111111111094,0.08333333333333304,0.2413793103448274,0.25,0.8660254037844386,-0.5
-0.611111111111111,0.24999999999999978,-0.9310344827586208,-0.8333333333333334,-0.8660254037844386,-0.5
-1,-0.16666666666666674,-1,-1,-0.8660254037844386,-0.5
-0.05555555555555558,0.16666666666666652,0.17241379310344818,0.25,0.8660254037844386,-0.5
-0.5555555555555558,0.49999999999999956,-0.8620689655172414,-0.8333333333333334,-0.8660254037844386,-0.5
-0.277777777777778,-0.16666666666666674,0.17241379310344818,0.16666666666666674,0.8660254037844386,-0.5
0.5555555555555551,-0.16666666666666674,0.6551724137931034,0.6666666666666667,0,1
-0.5555555555555558,0.49999999999999956,-0.7241379310344829,-0.75,-0.8660254037844386,-0.5
-0.2222222222222221,-0.5,-0.1724137931034484,-0.25,0.8660254037844386,-0.5
-0.7222222222222223,0.16666666666666652,-0.8275862068965517,-0.9166666666666666,-0.8660254037844386,-0.5
-0.611111111111111,0.24999999999999978,-0.8275862068965517,-0.5833333333333333,-0.8660254037844386,-0.5
-0.44444444444444453,0.4166666666666665,-0.8620689655172414,-0.9166666666666666,-0.8660254037844386,-0.5
-0.16666666666666674,-0.3333333333333336,0.37931034482758585,0.9166666666666665,0,1
-0.05555555555555558,-0.41666666666666663,0.37931034482758585,0.25,0.8660254037844386,-0.5
-0.4999999999999999,0.24999999999999978,-0.8620689655172414,-0.9166666666666666,-0.8660254037844386,-0.5
0.4444444444444444,-0.08333333333333337,0.48275862068965525,0.6666666666666667,0,1
0.05555555555555558,-0.8333333333333333,0.17241379310344818,0.16666666666666674,0.8660254037844386,-0.5
0.2222222222222221,-0.16666666666666674,0.6206896551724133,0.7500000000000002,0,1
0.11111111111111094,-0.5833333333333334,0.34482758620689635,0.5,0,1
-0.611111111111111,0.08333333333333304,-0.896551724137931,-0.9166666666666666,-0.8660254037844386,-0.5
-0.16666666666666674,-0.41666666666666663,0.03448275862068928,-0.25,0.8660254037844386,-0.5
0.33333333333333326,-0.08333333333333337,0.5517241379310343,0.9166666666666665,0,1
-0.277777777777778,-0.16666666666666674,0.03448275862068928,0,0.8660254037844386,-0.5
0.11111111111111094,-0.7500000000000002,0.13793103448275867,0,0.8660254037844386,-0.5
-0.33333333333333337,-0.6666666666666667,-0.06896551724137956,-0.16666666666666663,0.8660254037844386,-0.5
0.4444444444444444,-0.08333333333333337,0.37931034482758585,0.8333333333333333,0,1
-0.5555555555555558,-0.5833333333333334,-0.3448275862068967,-0.16666666666666663,0.8660254037844386,-0.5
0.6111111111111112,-0.16666666666666674,0.6206896551724133,0.25,0,1
-0.2222222222222221,1,-0.8620689655172414,-0.75,-0.8660254037844386,-0.5
0.33333333333333326,-0.5833333333333334,0.6206896551724133,0.41666666666666674,0,1
0.16666666666666674,0,0.4482758620689651,0.8333333333333333,0,1
-0.4999999999999999,-0.41666666666666663,-0.034482758620689835,0.08333333333333326,0.8660254037844386,-0.5
0.16666666666666674,-0.2500000000000002,0.10344827586206873,0,0.8660254037844386,-0.5
